,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude
3832,Entire home/apt,Centrum West,17,5.0,4,2.0,240.0,Stylish apartment with canal view!,2017-07-23 03:01:15.738355,52.385412,4.887868
3833,Entire home/apt,Westerpark,25,5.0,4,3.0,282.0,Sunny family home with canal view,2017-07-23 03:01:15.735808,52.379678000000006,4.877889
3834,Entire home/apt,Centrum West,5,5.0,4,2.0,300.0,The Cactus Flat - near Jordaan & City Center,2017-07-23 03:01:15.732807,52.388065999999995,4.889742
3835,Entire home/apt,Westerpark,14,5.0,4,1.0,240.0,"Cozy flat in the centre, across lively Westerpark",2017-07-23 03:01:15.729734,52.385451,4.878869
3838,Entire home/apt,Westerpark,23,5.0,2,1.0,299.0,Top location with amazing view + boat,2017-07-23 03:01:15.720962,52.385208,4.877258
3839,Entire home/apt,Centrum West,5,4.5,4,0.0,216.0,In the heart of the city!,2017-07-23 03:01:15.718076,52.377623,4.902705999999999
3843,Entire home/apt,De Pijp / Rivierenbuurt,21,5.0,2,1.0,222.0,Quality | Vibrant Area | A+ for Couples & Business,2017-07-23 02:58:40.469359,52.356121,4.887949
3844,Entire home/apt,Centrum West,13,5.0,4,2.0,288.0,Cosy apartment | 2 bedrooms & a balcony | Jordaan,2017-07-23 02:58:40.465106,52.375234000000006,4.880406
3846,Entire home/apt,Oud Oost,10,5.0,4,2.0,215.0,Brand new home in Amsterdam East,2017-07-23 02:58:40.460387,52.358466,4.933843
3847,Entire home/apt,Centrum West,97,4.5,6,2.0,288.0,Central canal house-great location!,2017-07-23 02:58:40.457681,52.368602,4.878537000000001
3848,Entire home/apt,De Pijp / Rivierenbuurt,8,5.0,4,2.0,276.0,Stylish|Bright & Central Old South Apartment 80m2,2017-07-23 02:58:40.454981,52.347706,4.896337
3849,Entire home/apt,Centrum Oost,5,4.0,4,2.0,270.0,Minimal and Elegant Sanctuary at Prinsengracht!,2017-07-23 02:58:40.452658,52.365497999999995,4.885372
3850,Entire home/apt,Centrum West,4,3.5,4,3.0,270.0,Haarlemmerstraat Penthouse || City Center || 145m2,2017-07-23 02:58:40.450305,52.381541999999996,4.891971
3853,Entire home/apt,Centrum West,5,5.0,4,1.0,216.0,Exelent location little apartment,2017-07-23 02:58:40.442619,52.37983,4.885568
3855,Entire home/apt,Centrum Oost,21,5.0,3,1.0,240.0,Spacious canal apartment 2(+1),2017-07-23 02:58:40.436144,52.363716,4.9054839999999995
3857,Entire home/apt,Oud Oost,4,4.0,4,3.0,300.0,Modern Houseboat on the famous Amstel River!,2017-07-23 02:58:37.992999,52.352332000000004,4.910758
3858,Entire home/apt,Noord-West / Noord-Midden,5,4.5,4,3.0,247.0,Stylish apartment next to Vondelpark/Museum square,2017-07-23 02:58:37.988580,52.353312,4.869664
3860,Entire home/apt,Centrum West,7,4.5,3,2.0,240.0,Beautiful apartment in the Jordaan,2017-07-23 02:58:37.982123,52.378479,4.885446
3861,Entire home/apt,De Pijp / Rivierenbuurt,20,5.0,2,1.0,240.0,Luxury 2 floor apartment all new!,2017-07-23 02:58:37.980009,52.353984999999994,4.888636
3862,Entire home/apt,Centrum West,22,4.5,4,2.0,300.0,Singel Canal Duplex apartment,2017-07-23 02:58:37.977359,52.380194,4.894517
3863,Entire home/apt,De Baarsjes / Oud West,16,5.0,4,2.0,227.0,Beautiful and sunny 80m2 apartment near Vondelpark,2017-07-23 02:58:37.974045,52.358543,4.854653
3864,Entire home/apt,Centrum Oost,11,5.0,2,1.0,300.0,Centrally located spacious sunny apartment,2017-07-23 02:58:37.971222,52.370288,4.899525
3865,Entire home/apt,De Pijp / Rivierenbuurt,16,5.0,4,2.0,240.0,Classic home with a view and rooftop terrace,2017-07-23 02:58:37.967477,52.352984,4.907671
3866,Entire home/apt,Centrum West,51,5.0,2,1.0,299.0,Fantastic apartment-Great location,2017-07-23 02:58:37.964269,52.371984999999995,4.884583
3867,Entire home/apt,De Pijp / Rivierenbuurt,13,5.0,6,3.0,264.0,Luxurious home in the Pijp!,2017-07-23 02:58:37.957629,52.347395,4.910433
3869,Entire home/apt,Centrum Oost,27,4.5,4,3.0,264.0,Cocos Outback amazing Rooftop view ,2017-07-23 02:58:37.952678,52.364883,4.8941669999999995
3870,Entire home/apt,Centrum West,27,5.0,2,1.0,300.0,Luxury Flowermarket Apartment,2017-07-23 02:58:31.408864,52.367426,4.890681
3872,Entire home/apt,Westerpark,19,5.0,4,3.0,265.0,Jordaan 2 Story Canal House with Garden,2017-07-23 02:58:31.403796,52.376186,4.874694
3873,Entire home/apt,De Pijp / Rivierenbuurt,39,5.0,2,1.0,272.0,"Luxurious Apartment in Popular District ""De Pijp""",2017-07-23 02:58:31.401413,52.357808,4.896627
3874,Entire home/apt,Centrum West,16,5.0,2,1.0,240.0,Luxurious apartment in city center,2017-07-23 02:58:31.395839,52.373533,4.8807480000000005
3875,Entire home/apt,Centrum Oost,22,5.0,4,2.0,299.0,Amsterdam Centre Luxury Canal House,2017-07-23 02:58:31.392712,52.364615,4.909544
3878,Entire home/apt,Centrum West,5,5.0,4,2.0,278.0,Cosy canal house in heart of town,2017-07-23 02:58:31.377664,52.374301,4.900758000000001
3879,Entire home/apt,Centrum West,4,4.5,4,4.0,270.0,Dam square 2floor Apartment  and 4 double-Bedrooms,2017-07-23 02:58:31.374180,52.371209,4.8931
3880,Entire home/apt,Centrum West,17,5.0,2,1.0,276.0,"Top located canalhouse, best view!",2017-07-23 02:58:29.082358,52.369959,4.881438
3881,Entire home/apt,Centrum West,35,5.0,2,1.0,215.0,beautiful houseboat in the center,2017-07-23 02:58:29.079526,52.378549,4.886784
3883,Entire home/apt,Centrum West,3,5.0,2,1.0,270.0,Canal chic,2017-07-23 02:58:29.074211,52.371771,4.8866830000000006
3885,Entire home/apt,De Pijp / Rivierenbuurt,27,4.5,4,2.0,276.0,Spacious Apartment at Famous Albert Cuyp Market,2017-07-23 02:58:29.065840,52.356982,4.897582
3886,Entire home/apt,Centrum Oost,3,5.0,4,3.0,270.0,Romantic & Authentic Canal House with big garden!,2017-07-23 02:58:29.062431,52.365151000000004,4.8892489999999995
3889,Entire home/apt,Centrum Oost,46,5.0,4,1.0,264.0,Historic canal-district recidence,2017-07-23 02:58:29.054101,52.365373999999996,4.886312
3890,Entire home/apt,Centrum Oost,11,5.0,2,1.0,247.0,High end stylish apartment | City Center & Museum,2017-07-23 02:58:29.051075,52.361989,4.886252
3891,Entire home/apt,Centrum West,8,5.0,4,3.0,222.0,In Charming Jordaan Area with 3BR,2017-07-23 02:58:29.047987,52.381848,4.884698
3899,Entire home/apt,Centrum West,111,5.0,3,0.0,234.0,*NEW* Houseboat AquaView,2017-07-23 02:58:26.972899,52.385290000000005,4.888203
3901,Entire home/apt,De Baarsjes / Oud West,91,5.0,4,2.0,264.0,Luxurous Houseboat-Great Location,2017-07-23 02:58:26.968187,52.362664,4.861032
3903,Entire home/apt,Centrum West,6,5.0,2,1.0,252.0,Amazing private apartment in the City Centre,2017-07-23 02:58:26.963446,52.366306,4.881067
3906,Entire home/apt,Centrum West,149,4.5,4,2.0,264.0,"Canal view house, perfect location",2017-07-23 02:58:26.955621,52.376187,4.886182
3907,Entire home/apt,Westerpark,20,5.0,2,1.0,270.0,❤︎ Romantic & Stylish Canalside Loft Apartment,2017-07-23 02:58:26.952812,52.377327,4.873336
3909,Entire home/apt,Centrum Oost,67,5.0,2,1.0,264.0,Freedom on the water!,2017-07-23 02:58:26.947725,52.372131,4.903788
3911,Entire home/apt,De Pijp / Rivierenbuurt,13,5.0,4,2.0,270.0,Amazing 2 bedroom house + rooftop!,2017-07-23 02:58:25.520553,52.35248,4.9019010000000005
3912,Entire home/apt,Centrum West,3,5.0,4,3.0,270.0,Haarlemmerstraat Residence | CITY CENTER | 125M2!,2017-07-23 02:58:25.518120,52.379649,4.890646
3913,Entire home/apt,Centrum West,6,5.0,2,1.0,267.0,Historic Canal Apartment,2017-07-23 02:58:25.515361,52.373987,4.896319
3914,Entire home/apt,Centrum West,3,4.5,2,0.0,252.0,NEW! Designers Studio | Centre | Canal House,2017-07-23 02:58:25.513086,52.376562,4.901278
3917,Entire home/apt,Centrum West,17,5.0,2,1.0,239.0,Nine Streets | City Center | Spacious Apartment,2017-07-23 02:58:25.504137,52.372588,4.886157
3918,Entire home/apt,Centrum Oost,60,5.0,2,1.0,270.0,Luxury Houseboat Amsterdam C.,2017-07-23 02:58:25.501325,52.371006,4.903537
3923,Entire home/apt,Centrum West,120,5.0,4,2.0,264.0,Guesthouse along canal in centre,2017-07-23 02:58:25.480851,52.376182,4.89058
3924,Entire home/apt,Centrum West,9,5.0,2,1.0,264.0,18th century house. Amazing canal view! @center,2017-07-23 02:58:25.478514,52.370168,4.894294
3925,Entire home/apt,De Baarsjes / Oud West,35,5.0,2,1.0,216.0,Modern and spacious houseboat,2017-07-23 02:58:25.475689,52.369735999999996,4.870668
3926,Entire home/apt,De Baarsjes / Oud West,5,5.0,4,2.0,270.0,Luxury spacious HOUSEBOAT on city canal,2017-07-23 02:58:25.473321,52.362726,4.860983999999999
3927,Entire home/apt,Centrum West,31,5.0,4,3.0,210.0,Bright & Huge,2017-07-23 02:58:25.470335,52.379991,4.891514
3929,Entire home/apt,Noord-West / Noord-Midden,14,5.0,4,3.0,203.0,Luxurious and large design house,2017-07-23 02:58:18.815580,52.353184999999996,4.849436
3931,Entire home/apt,Osdorp,7,5.0,4,2.0,192.0,Shabby chique house in Amsterdam!!!,2017-07-23 02:58:04.620915,52.353617,4.796024
3932,Entire home/apt,De Aker / Nieuw Sloten,32,5.0,4,2.0,186.0,Family house out of City Center. Only families.,2017-07-23 02:58:01.812586,52.34403,4.804186
3933,Entire home/apt,De Aker / Nieuw Sloten,4,5.0,5,3.0,204.0,Amsterdam.   Available -  22nd July to 12th August,2017-07-23 02:58:00.696582,52.344728,4.802241
3934,Entire home/apt,Noord-West / Noord-Midden,7,4.0,4,2.0,191.0,CHIQUE appartement with 2 bedrooms!,2017-07-23 02:58:00.686834,52.345147999999995,4.8549489999999995
3938,Entire home/apt,Noord-West / Noord-Midden,16,5.0,3,2.0,191.0,Spacious quiet home near Vondelpark,2017-07-23 02:57:57.814217,52.349503000000006,4.8487919999999995
3939,Entire home/apt,Slotervaart,6,4.5,2,1.0,204.0,Sunny Parkside Apartment + Bikes,2017-07-23 02:57:55.594032,52.34742,4.839351000000001
3943,Entire home/apt,Noord-West / Noord-Midden,6,5.0,4,2.0,204.0,Beautiful bright apartment,2017-07-23 02:57:46.649752,52.345588,4.861124
3944,Entire home/apt,Buitenveldert / Zuidas,4,4.0,3,2.0,204.0,"Charming & luxurious apartment, perfect location!",2017-07-23 02:57:46.642272,52.341206,4.867491
3945,Entire home/apt,Buitenveldert / Zuidas,6,4.0,5,3.0,192.0,Cheerful Family Apartment,2017-07-23 02:57:42.543358,52.332169,4.872523999999999
3946,Entire home/apt,De Pijp / Rivierenbuurt,12,4.5,4,2.0,192.0,"Beautiful apartment in ""de Pijp""",2017-07-23 02:56:51.221746,52.357605,4.892851
3948,Entire home/apt,Buitenveldert / Zuidas,8,5.0,4,3.0,204.0,Comfortable house next to Amsterdam forest | 3BD,2017-07-23 02:51:25.153728,52.325759000000005,4.863611
3951,Entire home/apt,Noord-West / Noord-Midden,9,5.0,3,2.0,204.0,Authentic & quiet apt Ams. Oud-Zuid+Garden,2017-07-23 02:51:13.725894,52.344777,4.860294000000001
3952,Entire home/apt,De Aker / Nieuw Sloten,4,5.0,3,2.0,191.0,Luxe appartement in Amsterdam,2017-07-23 02:51:13.708768,52.350107,4.781339
3953,Entire home/apt,De Aker / Nieuw Sloten,11,5.0,4,2.0,204.0,Amsterdam. Binnen 20 minuten in het centrum met ov,2017-07-23 02:51:08.148644,52.350949,4.781007
3955,Entire home/apt,Buitenveldert / Zuidas,3,4.5,4,2.0,192.0,Just renovated appartment near the centre,2017-07-23 02:51:05.049426,52.335448,4.869342
3956,Entire home/apt,Noord-West / Noord-Midden,7,5.0,4,2.0,202.0,Westlandgracht,2017-07-23 02:50:48.933898,52.348729,4.847321
3957,Entire home/apt,Buitenveldert / Zuidas,36,5.0,4,2.0,186.0,Beautiful near RAI 2-4p private app,2017-07-23 02:50:47.364230,52.334445,4.889966
3960,Entire home/apt,Ijburg / Eiland Zeeburg,8,4.0,4,2.0,191.0,"WARM house, 2 bedrooms + garden!",2017-07-23 02:50:28.429868,52.349090000000004,5.011024
3962,Entire home/apt,De Pijp / Rivierenbuurt,43,4.5,4,3.0,203.0,BIG COZY APARTMENT ,2017-07-23 02:50:22.338208,52.34163,4.903069
3963,Entire home/apt,De Pijp / Rivierenbuurt,9,4.5,4,2.0,203.0,Family home garden/canal/centre/RAI,2017-07-23 02:50:22.333776,52.345281,4.891182
3966,Entire home/apt,Noord-West / Noord-Midden,6,4.5,4,2.0,198.0,Spacious apartment in South,2017-07-23 02:50:17.883780,52.344736,4.8706760000000004
3967,Entire home/apt,De Pijp / Rivierenbuurt,12,4.5,4,2.0,195.0,Great spacious apartment with balcony,2017-07-23 02:50:08.199852,52.345086,4.904121
3968,Entire home/apt,De Pijp / Rivierenbuurt,5,5.0,4,2.0,192.0,"Light and sunny apartment, 2 bedrooms/2 balcony's",2017-07-23 02:50:08.190670,52.342883,4.908157
3971,Entire home/apt,Watergraafsmeer,20,4.5,4,3.0,204.0,Peaceful and green in the city,2017-07-23 02:50:02.675997,52.342278,4.923518
3972,Entire home/apt,Noord-West / Noord-Midden,16,5.0,3,2.0,188.0,Beautiful ground floor appartment,2017-07-23 02:49:56.862325,52.346299,4.874793
3973,Entire home/apt,De Pijp / Rivierenbuurt,3,5.0,4,2.0,202.0,Lovely app in Amsterdam withrooftop,2017-07-23 02:49:43.510861,52.356153000000006,4.901457
3974,Entire home/apt,De Pijp / Rivierenbuurt,5,5.0,2,2.0,186.0,Light spacious trendy apartment with sunny garden,2017-07-23 02:47:19.052597,52.344464,4.898955
3975,Entire home/apt,Oud Oost,19,5.0,4,3.0,195.0,"Lovely, spacious 4p w/ free parking",2017-07-23 02:47:05.233879,52.357339,4.916035
3976,Entire home/apt,Watergraafsmeer,4,5.0,4,2.0,204.0,Spacious appartment in Amsterdam (private parking),2017-07-23 02:47:03.806014,52.340609,4.916944
3977,Entire home/apt,Oostelijk Havengebied / Indische Buurt,4,5.0,4,2.0,204.0,Spacious apartment in trendy East,2017-07-23 02:46:43.285451,52.36405,4.9343129999999995
3978,Entire home/apt,Watergraafsmeer,12,5.0,4,2.0,204.0,120m2 luxurious house with a garden,2017-07-23 02:46:43.282662,52.355321,4.932395
3980,Entire home/apt,Oud Oost,20,5.0,4,2.0,203.0,Spacious Boat with Sunny Terrace,2017-07-23 02:46:12.240824,52.355694,4.9081150000000004
3981,Entire home/apt,Centrum West,7,3.5,4,0.0,198.0,Jordan City Center Retreat,2017-07-23 02:45:15.379527,52.370090999999995,4.880552
3982,Entire home/apt,Centrum West,19,5.0,2,1.0,192.0,Wonderful canal house in Jordaan,2017-07-23 02:45:15.367628,52.375125,4.885751
3983,Entire home/apt,Centrum West,10,4.5,4,2.0,204.0,Spacious and modern 2BEDR apartment,2017-07-23 02:44:00.138722,52.373078,4.876488
3985,Entire home/apt,Oud Oost,3,5.0,4,3.0,204.0,Family apartment with sunny terrace,2017-07-23 02:43:52.590547,52.360976,4.927944
3986,Entire home/apt,Oostelijk Havengebied / Indische Buurt,35,4.5,4,2.0,203.0,3 room apartment in popular Amsterdam Oost!,2017-07-23 02:43:52.582809,52.364393,4.939439
3987,Entire home/apt,Oostelijk Havengebied / Indische Buurt,26,5.0,4,2.0,204.0,appartment 5 min from city center,2017-07-23 02:43:48.329305,52.371899,4.933873
3988,Entire home/apt,Oostelijk Havengebied / Indische Buurt,36,4.0,4,2.0,186.0,Cosy Crib Amsterdam East 4 pers,2017-07-23 02:43:11.830679,52.360813,4.941738
3990,Entire home/apt,Oud Oost,7,5.0,2,1.0,186.0,Casa Victor,2017-07-23 02:42:58.332633,52.362004,4.928306
3992,Entire home/apt,Ijburg / Eiland Zeeburg,17,5.0,5,3.0,186.0,Nice 3floor house with sunny garden on city island,2017-07-23 02:42:23.619915,52.356567,4.989921
3997,Entire home/apt,Ijburg / Eiland Zeeburg,78,5.0,4,2.0,198.0,Spacious apartment - near citybeach,2017-07-23 02:42:20.779326,52.35736,4.986152
3998,Entire home/apt,Ijburg / Eiland Zeeburg,5,5.0,5,3.0,203.0,Modern en spacious apartment,2017-07-23 02:42:12.219571,52.346047,5.00988
3999,Entire home/apt,Watergraafsmeer,7,5.0,4,2.0,192.0,Spacious apartment with roofterrace,2017-07-23 02:42:12.198689,52.351976,4.934826999999999
4002,Entire home/apt,De Pijp / Rivierenbuurt,11,4.5,5,2.0,192.0,Sunny 2 bedroom apt in Amsterdam,2017-07-23 02:42:09.850498,52.344114000000005,4.90979
4003,Entire home/apt,Watergraafsmeer,29,5.0,4,3.0,204.0,"Excellent location, close to city",2017-07-23 02:42:08.066924,52.351977000000005,4.938157
4005,Entire home/apt,De Pijp / Rivierenbuurt,18,4.5,4,2.0,187.0,•Contemporary &Artsy APT the PIJP!•,2017-07-23 02:42:08.053874,52.352624,4.906516000000001
4006,Entire home/apt,De Pijp / Rivierenbuurt,3,4.5,3,3.0,192.0,"Warm family home in calm South area, close to Pijp",2017-07-23 02:42:08.046977,52.344776,4.897718
4007,Entire home/apt,De Pijp / Rivierenbuurt,3,4.5,4,2.0,203.0,"Great apartment, very central in Amsterdam, 4 pers",2017-07-23 02:42:05.260090,52.344489,4.907926
4008,Entire home/apt,Watergraafsmeer,4,5.0,4,2.0,203.0,Beautiful apartment in city centre (120m2),2017-07-23 02:42:05.253831,52.355889000000005,4.935208
4012,Entire home/apt,Ijburg / Eiland Zeeburg,3,5.0,4,3.0,186.0,Large Family House in Amsterdam with garden,2017-07-23 02:41:59.779508,52.355185999999996,5.00035
4013,Entire home/apt,Ijburg / Eiland Zeeburg,14,5.0,4,2.0,192.0,Lovely cosy house in Amsterdam!,2017-07-23 02:41:59.772767,52.352604,4.999965
4014,Entire home/apt,Watergraafsmeer,6,5.0,4,3.0,198.0,Cosy family house in a quiet neigbourhood.,2017-07-23 02:41:59.763020,52.351504,4.936861
4018,Entire home/apt,De Pijp / Rivierenbuurt,7,5.0,2,1.0,194.0,Modern apartment with rooftop terrace and jacuzzi,2017-07-23 02:41:57.530251,52.343047,4.901887
4020,Entire home/apt,Oud Oost,3,4.5,4,2.0,198.0,Sporty family apartment in east,2017-07-23 02:41:54.953565,52.361373,4.927792
4026,Entire home/apt,Ijburg / Eiland Zeeburg,24,5.0,4,3.0,198.0,Visit Amsterdam,2017-07-23 02:41:47.000315,52.357495,4.99288
4033,Entire home/apt,Ijburg / Eiland Zeeburg,10,5.0,4,3.0,186.0,Spacious modern house,2017-07-23 02:41:33.039103,52.349999,5.001996
4037,Entire home/apt,Osdorp,11,5.0,4,2.0,203.0,Spacious apparment perfect for couples/families.,2017-07-23 02:41:29.011766,52.361616,4.794430999999999
4038,Entire home/apt,De Baarsjes / Oud West,18,5.0,4,3.0,191.0,Spacious apartment Amsterdam,2017-07-23 02:41:26.754383,52.3721,4.86156
4039,Entire home/apt,De Baarsjes / Oud West,18,5.0,4,2.0,192.0,Cozy Bright 2BD Apartment -Oud West,2017-07-23 02:41:26.740179,52.369558000000005,4.864978
4040,Entire home/apt,Osdorp,4,4.5,4,1.0,204.0,Super location in Amsterdam,2017-07-23 02:41:26.736368,52.363324,4.808841999999999
4042,Entire home/apt,Slotervaart,3,4.5,2,2.0,192.0,Modern Amsterdam apartment+Bikes & near Vondelpark,2017-07-23 02:41:23.848373,52.350035999999996,4.837713
4043,Entire home/apt,Slotervaart,3,4.5,4,2.0,186.0,Colourful Bohemian Chic (2-bedroom apartment),2017-07-23 02:41:23.843223,52.353072,4.830662
4044,Entire home/apt,Slotervaart,13,5.0,4,2.0,204.0,Very sunny and modern penthouse!,2017-07-23 02:41:23.838763,52.352421,4.836426
4046,Entire home/apt,De Baarsjes / Oud West,20,5.0,4,1.0,204.0,"Spacious apartment, garden, 2 bikes",2017-07-23 02:41:17.532955,52.359359999999995,4.850978
4047,Entire home/apt,Bos en Lommer,32,4.5,4,2.0,203.0,modern 2 bedroom app. groundfloor,2017-07-23 02:41:17.519655,52.373810999999996,4.849864
4048,Entire home/apt,Noord-West / Noord-Midden,4,5.0,2,1.0,191.0,Lovely apartment near Vondelpark.,2017-07-23 02:41:15.709412,52.354664,4.852392
4049,Entire home/apt,Noord-West / Noord-Midden,6,4.5,4,2.0,192.0,Cosy appartment near Vondelpark,2017-07-23 02:41:15.689886,52.353413,4.846566999999999
4053,Entire home/apt,Centrum Oost,46,5.0,4,2.0,227.0,Most beautiful spot on the river Amstel Amsterdam,2017-07-23 02:59:40.886548,52.36722,4.901408999999999
4054,Entire home/apt,Centrum West,4,5.0,2,1.0,252.0,Historical canal house -city center,2017-07-23 02:59:40.883832,52.373851,4.8993910000000005
4056,Entire home/apt,Oostelijk Havengebied / Indische Buurt,11,5.0,5,3.0,300.0,Amsterdam Port Eastern Docks 150m2.,2017-07-23 02:59:39.148412,52.372631,4.95183
4058,Entire home/apt,Centrum Oost,3,4.5,4,3.0,243.0,Lovely and cosy family apartment A'dam city centre,2017-07-23 02:59:39.142969,52.36378,4.889925
4060,Entire home/apt,Centrum Oost,9,5.0,4,2.0,234.0,"Light, cozy apartment in the center of Amsterdam",2017-07-23 02:59:39.134107,52.363427,4.916789
4061,Entire home/apt,Centrum Oost,3,4.5,4,3.0,239.0,Stylish & Characteristic Rooftop Apartment,2017-07-23 02:59:39.131309,52.370705,4.907967
4063,Entire home/apt,Centrum West,72,4.5,4,0.0,276.0,Swaen Downtown for max 4 persons,2017-07-23 02:59:39.124031,52.369608,4.892482
4065,Entire home/apt,Oud Noord,8,5.0,4,2.0,270.0,House on the water in populair Amsterdam Noord,2017-07-23 02:59:37.169605,52.381915,4.906415
4066,Entire home/apt,Centrum West,11,5.0,6,2.0,300.0,2 floor apartment in the centre of Amsterdam,2017-07-23 02:59:37.163791,52.372054,4.899106
4067,Entire home/apt,Centrum Oost,6,5.0,4,2.0,300.0,"Houseboat in the centre of Amsterdam, luxury chill",2017-07-23 02:59:37.161224,52.364101,4.906872
4068,Entire home/apt,Centrum Oost,5,5.0,4,1.0,240.0,Apartment in Old Warehouse  - centre Amsterdam,2017-07-23 02:59:37.158383,52.370868,4.924601
4069,Entire home/apt,Centrum Oost,6,5.0,2,1.0,234.0,Light and quiet apartment in city center,2017-07-23 02:59:37.155919,52.368848,4.924279
4070,Entire home/apt,Oud Noord,3,5.0,4,2.0,264.0,"Central, nice kitchen, big backyard",2017-07-23 02:59:37.153539,52.384788,4.912579
4072,Entire home/apt,Centrum Oost,6,5.0,4,2.0,239.0,Great apartment in Amsterdam Centre,2017-07-23 02:59:37.148451,52.368468,4.928376999999999
4074,Entire home/apt,Centrum West,9,5.0,4,1.0,282.0,Bohemian loft / Spacious city center apartment,2017-07-23 02:59:37.143682,52.374856,4.897059
4076,Entire home/apt,Centrum Oost,5,5.0,4,2.0,300.0,Dream Houseboat on Amazing Canal,2017-07-23 02:59:37.138037,52.373166999999995,4.905114
4079,Entire home/apt,Centrum Oost,4,5.0,2,1.0,288.0,★ BEAUTIFUL DESIGN LOFT CENTRE ★,2017-07-23 02:59:37.128698,52.368063,4.91622
4080,Entire home/apt,Centrum Oost,16,5.0,4,2.0,240.0,Large Central Houseboat with Windmill View,2017-07-23 02:59:37.125587,52.368046,4.922005
4081,Entire home/apt,Centrum West,4,5.0,2,1.0,234.0,Bright canal apartment in buzzing hart of A'dam,2017-07-23 02:59:35.282957,52.372177,4.89733
4082,Entire home/apt,Centrum Oost,26,5.0,2,1.0,264.0,Designer penthouse with canal view,2017-07-23 02:59:35.278863,52.367071,4.901829
4084,Entire home/apt,Centrum West,64,5.0,2,1.0,240.0,"Best view, apt. Red Light District",2017-07-23 02:59:35.272222,52.373612,4.898569999999999
4087,Entire home/apt,Centrum West,7,5.0,4,2.0,234.0,"Super central & spacious, overlooking Singel Canal",2017-07-23 02:59:35.264773,52.380342999999996,4.894138
4088,Entire home/apt,Centrum West,18,5.0,2,1.0,228.0,central canal apartment,2017-07-23 02:59:35.261889,52.376833000000005,4.894184
4090,Entire home/apt,Centrum Oost,16,4.5,4,2.0,252.0,Renovated Light city centre apt with terrace,2017-07-23 02:59:35.253320,52.369135,4.911449
4091,Entire home/apt,Noord Oost,7,5.0,4,3.0,252.0,"Groot, modern, mooi gezinshuis.",2017-07-23 02:59:35.249737,52.408425,4.934697
4092,Entire home/apt,Oostelijk Havengebied / Indische Buurt,9,5.0,3,2.0,228.0,Lovely modern Ship,2017-07-23 02:59:35.247101,52.370528,4.947235
4093,Entire home/apt,Centrum West,36,4.5,2,1.0,300.0,Historical Canal Appartment Centre,2017-07-23 02:59:35.242782,52.374164,4.891368
4094,Entire home/apt,Centrum West,11,5.0,2,1.0,240.0,Luxe&Cosy in the Heart of Amsterdam,2017-07-23 02:59:35.239040,52.371045,4.893537
4095,Entire home/apt,Oud Noord,13,4.5,4,2.0,239.0,"Lovely house & garden, free parking",2017-07-23 02:59:35.236197,52.397327000000004,4.916498000000001
4096,Entire home/apt,Centrum West,10,5.0,2,1.0,286.0,The Mayer Manor Deluxe Suite,2017-07-23 02:59:35.232776,52.368637,4.894233
4097,Entire home/apt,Centrum West,18,4.5,4,1.0,272.0,"Modern, Light and Spacious APT || City Centre!",2017-07-23 02:59:31.305497,52.374303999999995,4.898339
4100,Entire home/apt,Centrum West,4,5.0,2,1.0,258.0,Beautiful old ship in citycentre,2017-07-23 02:59:31.298840,52.385515000000005,4.892206
4102,Entire home/apt,Centrum Oost,10,5.0,4,2.0,297.0,Spacious and very light apartment with canal view,2017-07-23 02:59:31.294802,52.363562,4.895086
4103,Entire home/apt,Centrum Oost,18,5.0,4,2.0,270.0,charming houseboat in citycentrum,2017-07-23 02:59:31.292349,52.364024,4.903912999999999
4105,Entire home/apt,Centrum Oost,3,5.0,4,2.0,240.0,Top floor appartement overlooking the canal,2017-07-23 02:59:31.286590,52.364670000000004,4.908186
4108,Entire home/apt,Centrum Oost,153,4.5,4,2.0,234.0,Nieuwmarkt | 2 BR | Spacious!,2017-07-23 02:59:31.270833,52.371144,4.908164
4110,Entire home/apt,Centrum West,54,4.5,4,1.0,264.0,Apartment in the heart of the city,2017-07-23 02:59:28.351010,52.377419,4.895198000000001
4112,Entire home/apt,Centrum West,9,4.5,8,2.0,270.0,Red light 2,2017-07-23 02:59:28.345021,52.371602,4.89654
4113,Entire home/apt,Centrum Oost,24,5.0,4,4.0,288.0,Cocos Outback Apartment 3,2017-07-23 02:59:28.342293,52.365711,4.895398
4114,Entire home/apt,Oostelijk Havengebied / Indische Buurt,16,5.0,4,2.0,234.0,Child friendly classic houseboat,2017-07-23 02:59:28.337516,52.370854,4.941835
4115,Entire home/apt,Centrum Oost,3,5.0,2,1.0,239.0,"Authentic stay in Amsterdam Center, Plantage",2017-07-23 02:59:28.334826,52.365027000000005,4.919622
4116,Entire home/apt,Centrum Oost,4,4.5,4,3.0,300.0,Nieuwmarkt - Waag III apartment,2017-07-23 02:59:28.331826,52.370544,4.90411
4117,Entire home/apt,Centrum West,7,5.0,4,2.0,276.0,Houseboat Amsterdam City Center,2017-07-23 02:59:28.328672,52.387607,4.891514
4118,Entire home/apt,Oud Noord,39,4.5,5,2.0,300.0,Cosy & spacious appartment @ A'dam!,2017-07-23 02:59:28.325908,52.399966,4.907083999999999
4119,Entire home/apt,Noord West,5,5.0,4,3.0,216.0,Spacious home with garden close to centre,2017-07-23 02:59:28.322787,52.418986,4.900843
