,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude
163,Entire home/apt,De Baarsjes / Oud West,48,5.0,2,1.0,67.0,Charming apartment in trendy location!,2017-07-23 06:22:33.283263,52.369537,4.868457
165,Entire home/apt,Westerpark,3,5.0,2,1.0,72.0,Very cosy and warm apartment,2017-07-23 06:22:24.956047,52.392314,4.872979
167,Entire home/apt,Oud Noord,11,3.5,3,1.0,60.0,Boat for Rent during Sail 2015,2017-07-23 06:22:18.994201,52.396745,4.915302
168,Entire home/apt,De Aker / Nieuw Sloten,37,4.5,4,1.0,60.0,"Cozy flat close to center, parking!",2017-07-23 06:22:18.987380,52.346686,4.808542
169,Entire home/apt,Ijburg / Eiland Zeeburg,12,4.5,2,0.0,57.0,Lovely studio 12 min from Amsterdam Centraal,2017-07-23 06:22:18.980965,52.372471000000004,4.96824
170,Entire home/apt,De Baarsjes / Oud West,5,4.5,2,1.0,58.0,Quiet 65m2 apt close to the centre,2017-07-23 06:22:18.978764,52.362128999999996,4.851974
171,Entire home/apt,Centrum Oost,3,5.0,2,0.0,60.0,Cozy Studio Centre Amsterdam,2017-07-23 06:22:18.976604,52.370596,4.930566000000001
172,Entire home/apt,Watergraafsmeer,41,4.5,2,0.0,58.0,Amstel Appartment,2017-07-23 06:22:16.175152,52.340453000000004,4.919123
173,Entire home/apt,Oostelijk Havengebied / Indische Buurt,195,4.5,2,1.0,42.0,"Cosy Studio, with outdoor Swimming",2017-07-23 06:22:16.168284,52.374983,4.942076
174,Entire home/apt,Centrum West,24,4.5,2,0.0,43.0,Comlete independent quiet studio,2017-07-23 06:22:16.141920,52.371001,4.897576
181,Entire home/apt,Centrum West,6,5.0,16,7.0,1920.0,AmsterdamBase,2017-07-23 06:22:10.333495,52.372837,4.8985
186,Entire home/apt,De Baarsjes / Oud West,7,5.0,6,3.0,1140.0,"Canal house (275m2) in a former parish, big garden",2017-07-23 06:22:07.155651,52.371028,4.873444999999999
188,Entire home/apt,Westerpark,3,4.5,10,5.0,1200.0,Spacious apartment in Amsterdam,2017-07-23 06:22:07.149712,52.374641,4.87443
191,Entire home/apt,Noord-West / Noord-Midden,13,5.0,8,5.0,1170.0,Schitterend Herenhuis op A-locatie!,2017-07-23 06:22:07.142581,52.354741,4.8719790000000005
194,Entire home/apt,Centrum West,5,4.5,10,5.0,1199.0,AmsterdamStag Stay,2017-07-23 06:22:07.132419,52.374067,4.90089
196,Entire home/apt,Centrum West,22,5.0,7,4.0,1122.0,Industrial loft  on edge Jordaan/Prinseneiland,2017-07-23 06:22:07.128152,52.386831,4.884778
197,Entire home/apt,De Baarsjes / Oud West,3,4.5,2,1.0,1343.0,Beautiful canalhouse for couples near Leidse plein,2017-07-23 06:22:07.122848,52.367416,4.876162
198,Entire home/apt,Centrum Oost,8,5.0,4,3.0,1428.0,Luxurious 3br 110m² houseboat in Amsterdam Centre!,2017-07-23 06:22:07.119658,52.37202,4.9035470000000005
200,Entire home/apt,Centrum Oost,3,4.5,4,2.0,780.0,"Sunny, Family, Design Apartment",2017-07-23 06:22:03.933431,52.368427000000004,4.931463
201,Entire home/apt,Noord-West / Noord-Midden,27,5.0,10,6.0,1016.0,Luxurious Family Residence in the Museum Area,2017-07-23 06:22:03.928032,52.354353,4.883591
203,Entire home/apt,Centrum West,3,5.0,8,4.0,839.0,Dutch HQ right in the city center,2017-07-23 06:22:03.921540,52.37424,4.899472
206,Entire home/apt,De Pijp / Rivierenbuurt,17,4.5,8,4.0,588.0,South Park Apartment,2017-07-23 06:21:54.134937,52.353612,4.888399
207,Entire home/apt,Oud Noord,91,4.5,12,6.0,540.0,"Cosy, Classic Sailing Ship ""de Lis""",2017-07-23 06:21:54.132356,52.384044,4.9048940000000005
209,Entire home/apt,De Baarsjes / Oud West,15,5.0,10,6.0,720.0,Gorgeous spacious house Amsterdam next Vondelpark,2017-07-23 06:21:54.122063,52.360918,4.870737
214,Entire home/apt,De Pijp / Rivierenbuurt,6,3.5,4,4.0,654.0,Best apartment in the Pijp!,2017-07-23 06:21:54.101895,52.355421,4.901771
215,Entire home/apt,Centrum Oost,13,5.0,7,4.0,540.0,Double canal house Amsterdam Centre,2017-07-23 06:21:54.099388,52.362759000000004,4.911490000000001
217,Entire home/apt,De Baarsjes / Oud West,14,5.0,6,3.0,599.0,Beautiful home in central Amsterdam,2017-07-23 06:21:54.094913,52.36612,4.876851
219,Entire home/apt,De Baarsjes / Oud West,26,5.0,6,3.0,599.0,Huge 2 floor apartment with garden!,2017-07-23 06:21:51.230423,52.369917,4.872633
221,Entire home/apt,Oud Noord,23,4.5,14,7.0,540.0,Comfortable and Bright Sailing Ship,2017-07-23 06:21:51.225060,52.401061,4.8973889999999995
222,Entire home/apt,De Baarsjes / Oud West,71,5.0,2,1.0,599.0,Lovely flat/ V-park/ Rijksmuseum,2017-07-23 06:21:51.222305,52.363074,4.867948999999999
223,Entire home/apt,Centrum West,34,5.0,6,6.0,720.0,Canal House near ANNE FRANK House,2017-07-23 06:21:51.217919,52.379544,4.889390000000001
224,Entire home/apt,Centrum West,9,4.5,4,2.0,540.0,Modern canal apartment with rooftop!,2017-07-23 06:21:51.214954,52.367487,4.881252
226,Entire home/apt,Oud Noord,36,4.5,14,6.0,540.0,Classic ship the Boreas docked at hipster hotspot!,2017-07-23 06:21:51.205973,52.403007,4.893395
227,Entire home/apt,De Pijp / Rivierenbuurt,5,5.0,8,4.0,570.0,Lovely spacious house in Oude Pijp area,2017-07-23 06:21:51.203367,52.353654,4.88964
229,Entire home/apt,Noord-West / Noord-Midden,14,4.0,8,4.0,528.0,The Park Villa,2017-07-23 06:21:48.092240,52.357128,4.873053
230,Entire home/apt,De Pijp / Rivierenbuurt,29,4.5,4,2.0,540.0,Spacious flat next Rijksmuseum,2017-07-23 06:21:48.089656,52.355686,4.889335
231,Entire home/apt,Centrum West,20,4.5,7,4.0,719.0,DutchStay Chillout Apartment,2017-07-23 06:21:48.086906,52.374358,4.899133
233,Entire home/apt,Centrum West,8,5.0,12,5.0,720.0,"★★ Kobalt-Inn Family Apartments ★ 5Bed ★3,5 Bath",2017-07-23 06:21:48.081646,52.379837,4.893891
234,Entire home/apt,De Baarsjes / Oud West,8,5.0,8,3.0,720.0,Waterside Adam city centre apt with rooftopterrace,2017-07-23 06:21:48.077887,52.369917,4.873892
235,Entire home/apt,Oostelijk Havengebied / Indische Buurt,29,4.5,14,3.0,588.0,Welcome groups and families!,2017-07-23 06:21:48.075804,52.37777,4.937851
239,Entire home/apt,Watergraafsmeer,4,5.0,4,4.0,714.0,Most luxurious houseboat of Amsterdam,2017-07-23 06:21:48.064937,52.342737,4.917123
243,Entire home/apt,Centrum West,28,4.5,8,4.0,539.0,Beautiful modern 4 double-bedroom apartment!,2017-07-23 06:21:48.046937,52.371864,4.878375
244,Entire home/apt,Centrum West,4,4.5,5,3.0,599.0,Spacious loft with terrace in Jordaan,2017-07-23 06:21:44.595012,52.370566,4.882075
246,Entire home/apt,Westerpark,11,5.0,16,5.0,599.0,Groep Accommodation Sailing Ship,2017-07-23 06:21:44.587826,52.392195,4.8826540000000005
247,Entire home/apt,Centrum West,13,5.0,4,5.0,599.0,Unique Canalhouse in Amsterdam 1672,2017-07-23 06:21:44.585395,52.3675,4.882948000000001
251,Entire home/apt,De Baarsjes / Oud West,35,4.5,6,3.0,720.0,"Luxurious 3 bedroom, centrum, 180m2",2017-07-23 06:21:44.576325,52.365237,4.87825
252,Entire home/apt,Centrum West,21,4.5,4,3.0,660.0,Jordaan house in the city center,2017-07-23 06:21:44.573477,52.380305,4.8841529999999995
253,Entire home/apt,De Pijp / Rivierenbuurt,9,4.5,4,4.0,606.0,Historic luxury home with garden | OntheAmstel,2017-07-23 06:21:44.571042,52.356877000000004,4.9037
